internal_key,current_target,established_evidence,remaining_precise_author_or_model_data_decision,recomputation_status_or_specific_new_calculation_needed,affected_parameter_block_hypothesis_not_identification_proof,supporting_exact_file_paths,proposed_action_not_adopted,score_role
initial_normalization,2.1,Author-selected age46+ stationary normalization; 3+ representative is 3.602359 and this row is unscored.,Choose the intended population/top-bin representation before calling it a cohort-fertility counterpart.,Complete for frozen normalization; only recompute if author selects a new population/top-bin rule.,Fertility utility scale psi.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/lead_claim_checks.json,Keep 2.1 as a separate normalization pending an explicit population convention.,normalization_unscored
cps_childlessness,0.19827875100684264,Saved CPS women40-44 share and frozen age-interpolated observer reproduce; pooled-GVF scale is approximate.,Set a common female-population and age-composition interpretation for CPS and household mass.,Empirical reproduction complete; no new calculation unless population rule changes.,Fertility level/childlessness preference block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv,Retain frozen share provisionally and record the population mapping.,scored_working_objective
cps_exactly_one,0.21365532522014702,Saved conditional CPS share and the same projected stock observer reproduce; it is not a second-birth hazard.,Decide the same female-population/age/top-bin interpretation jointly with childlessness.,Empirical reproduction complete; no new calculation unless that shared rule changes.,Subsequent-birth/intensive-margin fertility preference block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv,Retain frozen conditional share pending joint fertility-population contract.,scored_working_objective
nchs_mean_age,25.976263860992496,2003-06 NCHS model-cell midpoint target and grouped model flow operator reproduce; scale is annual variation not a sampling SE.,Choose and document stationary-period scope plus boundary-age and within-cell timing convention.,Complete for frozen grouped target; recalculate only if author changes grouping/timing convention.,Fertility timing preference block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/lead_claim_checks.json,Keep grouped diagnostic and label its period/boundary approximation.,scored_working_objective
nchs_share30,0.2492780130410667,Pooled 2003-06 NCHS age30+ share and model cell-boundary operator reproduce; scale is annual variation.,Choose the same stationary-period/population/support interpretation as mean first-birth age.,Complete for frozen threshold; recalculate only if support or period convention changes.,Fertility timing preference block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv,Retain frozen age30+ diagnostic with stated support assumptions.,scored_working_objective
wealth_earnings,6.14586139445743,July signed-off ratio-of-sums uses beginning net worth including mortgage debt and annual gross RP/spouse earnings; arithmetic/annualization verified.,Decide whether retained stock/flow dates and components are an accepted model-data approximation; do not reopen gross/net definitions absent a discrepancy.,Complete for frozen target; no new computation presently needed.,Saving/housing-wealth and income-scale block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/july_decision_review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json,Retain July definition and record any accepted timing approximation.,scored_working_objective
bequest_wealth,0.0088,July signed-off inherited external bequests/wealth restriction; current synthetic 5% scale is not an empirical SE.,Choose whether recipient/estate coverage is sufficiently matched and whether to retain the external tolerance.,"Target value verified; reconcile source recipient/estate coverage before claiming matched coverage, even if retaining the restriction.",Bequest motive/estate-transfer block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/july_decision_review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json,Keep 0.88% provisionally; do not drop it without a replacement identifying restriction.,scored_working_objective
old_dispersion,3.51593508651872,"Frozen PSID wealth/family-income p90/p50 and bootstrap SE reproduce; model retirement income is constant, so model ratio equals wealth-level ratio; candidate empirical levels ratio is 4.919429.",Author chooses retained family-income ratio or a jointly specified wealth-level dispersion target; neither is a mandatory correction.,Both frozen and candidate empirical calculations complete; any adoption requires re-score under chosen contract.,Late-life saving/bequest/retirement-income block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/empirical_old_wealth/receipt.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/phase5_lead_review.json,"Present 4.919429 as a candidate, not a replacement.",scored_working_objective
mean_rooms,5.561097376118652,ACS 42-metro capped-at-9 target reproduces; current realized-room operator and fractional ages are verified; national counterpart is 5.607886.,Author chooses national US versus retained 42-metro quantitative population and the represented structure sample.,Frozen and national scalar calculations complete; no new data calculation before geography decision.,Housing-service demand/price and tenure block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv,Keep 42-metro value until author selects a common housing population.,scored_working_objective
ownership_30_55,0.6483340343191493,ACS 42-metro age30-55 ownership reproduces; half-cell age mask is implemented; national counterpart is 0.676260.,Author chooses national versus 42-metro target and model interpretation of ACS structure coverage.,Frozen and national scalar calculations complete; no new calculation before geography decision.,Tenure costs/credit/down-payment and housing-demand block.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/review.json;/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/overnight/report_tables/target_contract.csv,Keep 42-metro value provisionally; geography switch alone does not resolve low ownership.,scored_working_objective
