id,label,target,weight,working_scale,weight_basis,data,model,assessment
initial_normalization,Initial fertility normalization,2.1,,,Unscored,"Author-imposed stationary model normalization, not an empirical estimate.",The existing normalization solves for the fertility utility scale; no weight in the twelve-row objective.,Keep its role explicit. Do not interpret 2.1 as a directly measured period birth rate or equate it with every cohort fertility measure.
cps_childlessness,"Childless women, ages 40-44",0.19827875100684264,35532.3042455214,0.005305035738317728,Approximate pooled CPS uncertainty,"June CPS 2004/2006, women 40-44, valid children-ever-born and positive fertility-supplement weight; weighted share with zero children. Saved source estimate reproduced.","Uniform birth-time interpolation across four-year age cells, with fractional overlap at 40-44; uses the model household reproductive-member mass.",Age mapper is implemented. Female population and empirical/model age composition need an explicit common interpretation.
cps_exactly_one,Exactly one child among mothers,0.21365532522014702,26952.820824310795,0.0060911302714076404,Approximate pooled CPS uncertainty,Same CPS sample; weighted share with exactly one child conditional on ever having a child.,"Exactly-one-child stock divided by the stock of mothers, using the same age projection.",This is not a second-birth hazard. Reconcile population mapping alongside childlessness; no unavailable-mapper claim.
nchs_mean_age,Mean first-birth age,25.976263860992496,139.82806784479274,0.0845673694617251,Annual 2003-2006 temporal SD,NCHS first-birth counts 2003-2006. Ages are mapped to the model midpoint classes; tails below 18 and above 45 are absorbed into boundary groups. Saved estimate reproduced.,First-birth flow weighted mean of model age-cell midpoints in the stationary economy.,"Same grouped-age calculation is available. Stationary versus dated period, population/residence scope and boundary support remain explicit assumptions."
nchs_share30,First births at age 30 or above,0.2492780130410667,13866.065434728798,0.00849226186213262,Annual 2003-2006 temporal SD,"Share of pooled first births at exact maternal age 30 or above, among the saved age 12-49 counts.",Share of model first-birth flow in cells beginning at 30 or above.,Threshold matches a model cell boundary. Period/population and support assumptions still require a declared target interpretation.
wealth_earnings,Aggregate wealth / annual earnings,6.14586139445743,7.595098472533724,0.36285515343369,PSID person bootstrap SE,"National PSID 2003/2005: weighted total net worth of reference-person families 18-85 divided by weighted gross labor earnings for working-age families. Ratio of sums, not mean household ratio.","Beginning net financial wealth plus owner housing value, divided by annualized gross model labor earnings. Four-year flows are annualized once and payroll tax is grossed up.",Arithmetic and annualization are verified. Reconcile mortgage/net-worth components and stock versus income reference dates before treating this as an exact empirical counterpart.
bequest_wealth,Annual bequests / aggregate wealth,0.0088,5165289.256198346,0.00044000000000000007,Synthetic 5% of target,"Inherited external historical restriction. No in-repository microdata builder or empirical SE; this review verifies its stored value, not its primary-source derivation.","Expected nonnegative estate flows at death, annualized once, divided by aggregate beginning wealth; terminal death is imposed.","Verify the source definition and accept or revise the external restriction explicitly. Its 5% tolerance is synthetic, not estimated precision. No automatic dropping: preserve bequest-block identification."
old_dispersion,Old wealth/income p90 / median,3.51593508651872,10.616361531535473,0.306910785103348,PSID person bootstrap SE,"National PSID 2003/2005 reference persons 76-84, family income above $1000 and observed child history. Weighted 90th percentile of net-worth/family-income divided by its weighted median.","Same quantile operation and explicit 76-84 cell overlap, but income is modeled pension plus configured transfer. The scorer unambiguously uses this observer, not the legacy label-age statistic.","Family income contains components absent from the pension proxy. Income threshold, observed-history selection and wealth components need reconciliation. This is a substantive mapping issue, not an ambiguous active scorer."
mean_rooms,"Mean occupied rooms, cap 9",5.561097376118652,128.02070205233477,0.08838120078007809,42-metro bootstrap SE,"ACS 2005/2006, selected 42 MET 2013 metros, household heads 18-85 and the saved housing-validity filters. Weighted rooms capped at 9. Reproduced exactly.",Current realized owner/renter rooms capped at 9 in every income-resolved state before aggregation. Fractional age exposure is implemented.,Cap/order implementation is verified. Decide national versus 42 metros and define the represented housing sample. Saved national counterpart is 5.607886.
ownership_30_55,"Ownership, heads 30-55",0.6483340343191493,2339.3623724673616,0.020675272863460718,42-metro bootstrap SE,"ACS 2005/2006 heads 30-55 in 42 metros, positive household weights and the specified occupied-unit/structure sample. Weighted ownership share; reproduced exactly.","Current realized owner mass over total mass, with half of the 54-57 cell included. No whole-cell age-mask error.",Within-cell age uniformity is explicit. Geography and ACS structure types need a model interpretation. Saved national counterpart is 67.6260%; switching geography does not cure low ownership.
first_birth_rooms,First-birth room response,0.7202462623815278,137.5652749002964,0.0852600513385958,Clustered contrast SE,"Weighted national PSID household-aligned event study: coefficient at +3 minus coefficient at -1, omitted -2; person/year effects, age/education controls and person clustering. Stored scalar and SE reproduce.","Matched treated/control branches advanced one four-year period under stationary policies, with destination continuation births allowed; uncapped rooms. This implemented calculation is not the same regression/cohort weighting.",Not a settled target. Reference support and demonstrated normalization sensitivity remain; author preferred a -2 empirical baseline. Completed binned diagnostic 0.426502 is a different sample/design and is not a replacement. Fix the empirical estimand and model counterpart together.
family_rooms,Rooms: 3+ versus 1-2 resident children,0.3470669317962507,280.52808370152104,0.059705154633000496,42-metro bootstrap SE,"ACS heads 30-55 with youngest resident own child under 18; compare all resident-own-child counts 3+ versus 1-2, with rooms capped 9. Exact saved reproduction.","Model current dependents 3+ versus 1-2, restricted to feasible count states; caps full-state rooms before aggregation.",Resident own children can include adult children; current dependents with stochastic departure are not that exact grouping. Choose and justify the shared measurement.
recent_parent_ownership,Recent-parent ownership gap,0.16289550916123285,27055.822957508266,0.006079524679464666,42-metro bootstrap SE,ACS heads 30-55: ownership where oldest resident own child is under 4 minus ownership with no resident own children. Exact saved reproduction.,"Synchronized current births from previously empty-dependent homes minus current empty homes, including former parents. This is the active repaired observer.",Not the obsolete lifetime-childless comparison. It remains an approximation to an interview stock defined by oldest child age. Sampling uncertainty alone does not measure this discrepancy. National counterpart 12.7608 pp is available.
